,tweet_id,favorite_count,retweet_count
0,892420643555336193,38317,8409
1,892177421306343426,32843,6199
2,891815181378084864,24740,4100
3,891689557279858688,41661,8528
4,891327558926688256,39830,9261
5,891087950875897856,20000,3073
6,890971913173991426,11704,2042
7,890729181411237888,64688,18649
8,890609185150312448,27494,4215
9,890240255349198849,31548,7299
10,890006608113172480,30302,7244
11,889880896479866881,27456,4918
12,889665388333682689,47563,9942
13,889638837579907072,26854,4489
14,889531135344209921,14913,2213
15,889278841981685760,25002,5354
16,888917238123831296,28757,4446
17,888804989199671297,25285,4270
18,888554962724278272,19646,3530
19,888078434458587136,21502,3453
20,887705289381826560,29813,5321
21,887517139158093824,45725,11527
22,887473957103951883,68285,17973
23,887343217045368832,33288,10287
24,887101392804085760,30197,5891
25,886983233522544640,34739,7686
26,886736880519319552,11910,3250
27,886680336477933568,22163,4411
28,886366144734445568,20941,3162
29,886267009285017600,116,4
30,886258384151887873,27670,6210
31,886054160059072513,0,103
32,885984800019947520,32314,6726
33,885528943205470208,35581,6357
34,885518971528720385,20192,3711
35,885311592912609280,0,18387
36,885167619883638784,21678,4333
37,884925521741709313,76537,18226
38,884876753390489601,27605,5720
39,884562892145688576,24034,4814
40,884441805382717440,26688,5592
41,884247878851493888,72208,20240
42,884162670584377345,20130,2952
43,883838122936631299,21658,3408
44,883482846933004288,45424,9852
45,883360690899218434,22324,3636
46,883117836046086144,36780,6605
47,882992080364220416,23686,3874
48,882762694511734784,27991,4863
49,882627270321602560,27594,6020
50,882268110199369728,44454,11473
51,882045870035918850,29016,4918
52,881906580714921986,24041,3363
53,881666595344535552,50006,10550
54,881633300179243008,125,7
55,881536004380872706,48888,15793
56,881268444196462592,22831,5113
57,880935762899988482,16830,2755
58,880872448815771648,21045,3779
59,880465832366813184,28222,6217
60,880221127280381952,26766,4171
61,880095782870896641,27341,4319
62,879862464715927552,22090,3463
63,879674319642796034,310,10
64,879492040517615616,23163,3157
65,879415818425184262,104730,43753
66,879376492567855104,16594,3093
67,879130579576475649,0,6768
68,879050749262655488,22333,4683
69,879008229531029506,18782,2670
70,878776093423087618,19213,4094
71,878604707211726852,29941,7134
72,878404777348136964,0,1280
73,878316110768087041,0,6601
74,878281511006478336,7669,1280
75,878057613040115712,41595,6768
76,877736472329191424,78921,18936
77,877611172832227328,0,80
78,877556246731214848,22490,3778
79,877316821321428993,27079,5134
80,877201837425926144,26836,5539
81,876838120628539392,20459,3323
82,876537666061221889,23250,4590
83,876484053909872640,18560,2379
84,876120275196170240,27632,4657
85,875747767867523072,24937,4260
86,875144289856114688,21714,4897
87,875097192612077568,27153,6010
88,875021211251597312,25222,4687
89,874680097055178752,27579,4619
90,874434818259525634,0,14670
91,874296783580663808,25824,4090
92,874057562936811520,22450,3939
93,874012996292530176,34318,10388
94,873580283840344065,24025,3938
95,873337748698140672,0,1583
96,873213775632977920,7186,1583
97,872967104147763200,27160,5393
98,872820683541237760,14608,3690
99,872620804844003328,20626,3694
100,872486979161796608,40387,8999
101,872261713294495745,33970,6319
102,872122724285648897,34255,8116
103,871879754684805121,37805,11189
104,871762521631449091,20163,3477
105,871515927908634625,20115,3455
106,871166179821445120,0,5708
107,871102520638267392,20824,5511
108,871032628920680449,22558,3821
109,870804317367881728,33474,6227
110,870726314365509632,119,3
111,870656317836468226,12367,2658
112,870374049280663552,82440,26334
113,870308999962521604,21762,4173
114,870063196459192321,36597,8403
115,869772420881756160,42327,10091
116,869702957897576449,28204,6378
117,869596645499047938,15955,3149
118,869227993411051520,20418,3810
119,868880397819494401,65660,14626
120,868639477480148993,0,2114
121,868622495443632128,27219,5842
122,868552278524837888,10152,2114
123,867900495410671616,24216,4216
124,867774946302451713,34062,7419
125,867421006826221569,16156,2536
126,867072653475098625,0,123
127,867051520902168576,32337,7961
128,866720684873056260,20158,4875
129,866686824827068416,19408,3531
130,866450705531457537,122829,35765
131,866334964761202691,52841,14670
132,866094527597207552,0,8499
133,865718153858494464,25763,5697
134,865359393868664832,26642,5081
135,865006731092295680,28205,7812
136,864873206498414592,32509,8873
137,864279568663928832,14733,3094
138,864197398364647424,30392,9111
139,863907417377173506,20794,4219
140,863553081350529029,15431,4253
141,863471782782697472,0,2510
142,863432100342583297,24034,5364
143,863427515083354112,2282,99
144,863079547188785154,8846,1119
145,863062471531167744,8616,2510
146,862831371563274240,19353,5185
147,862722525377298433,17244,3608
148,862457590147678208,20762,5064
149,862096992088072192,75359,23833
150,861383897657036800,36488,10942
151,861288531465048066,17384,4255
152,861005113778896900,16923,3896
153,860981674716409858,0,2215
154,860924035999428608,0,843
155,860563773140209665,7603,2215
156,860524505164394496,23943,5407
157,860276583193509888,18542,3562
158,860184849394610176,16916,5982
159,860177593139703809,0,31686
160,859924526012018688,19810,4205
161,859851578198683649,15612,3605
162,859607811541651456,18857,1613
163,859196978902773760,91269,31096
164,859074603037188101,34409,14001
165,858860390427611136,0,8389
166,858843525470990336,15776,3577
167,858471635011153920,21848,4996
168,858107933456039936,15988,3009
169,857989990357356544,16390,2663
170,857746408056729600,34888,10983
171,857393404942143489,6018,1696
172,857263160327368704,20384,4676
173,857214891891077121,233,18
174,857062103051644929,0,176
175,857029823797047296,19307,4147
176,856602993587888130,0,11080
177,856543823941562368,16596,2983
178,856526610513747968,12080,1945
179,856330835276025856,0,702
180,856288084350160898,525,17
181,856282028240666624,28307,6556
182,855862651834028034,354,28
183,855860136149123072,5157,1073
184,855857698524602368,12102,2197
185,855851453814013952,46409,18409
186,855818117272018944,27193,5651
187,855459453768019968,30638,8561
188,855245323840757760,0,6229
189,855138241867124737,0,48
190,854732716440526848,23431,6379
191,854482394044301312,30099,7182
192,854365224396361728,19402,4896
193,854120357044912130,32839,7835
194,854010172552949760,16649,3301
195,853760880890318849,29419,6076
196,853639147608842240,35926,10632
197,853299958564483072,15990,3744
198,852936405516943360,0,2113
199,852912242202992640,9338,1932
200,852672615818899456,15384,2268
201,852553447878664193,16906,3703
202,852311364735569921,34220,10420
203,852226086759018497,20676,7176
204,852189679701164033,11854,1670
205,851953902622658560,0,10172
206,851861385021730816,0,23
207,851591660324737024,16759,3663
208,851464819735769094,25148,7476
209,851224888060895234,21421,6048
210,850753642995093505,32153,9821
211,850380195714523136,13537,2769
212,850333567704068097,3556,353
213,850145622816686080,16937,4054
214,850019790995546112,21238,5189
215,849776966551130114,31649,8055
216,849668094696017920,0,5254
217,849412302885593088,16498,3329
218,849336543269576704,11877,2001
219,849051919805034497,44186,9054
220,848690551926992896,26223,4586
221,848324959059550208,25767,4895
222,848213670039564288,8507,794
223,848212111729840128,17004,3271
224,847978865427394560,0,3461
225,847971574464610304,0,458
226,847962785489326080,24489,5430
227,847842811428974592,5711,1431
228,847617282490613760,7303,451
229,847606175596138505,19576,3611
230,847251039262605312,21324,4573
231,847157206088847362,20849,6246
232,847116187444137987,22365,3401
233,846874817362120707,20975,4186
234,846514051647705089,46668,12407
235,846505985330044928,14772,3300
236,846153765933735936,33133,9686
237,846139713627017216,32276,10534
238,846042936437604353,16713,3088
239,845812042753855489,30671,9347
240,845677943972139009,26268,5116
241,845397057150107648,7982,1939
242,845306882940190720,24407,5774
243,845098359547420673,0,8209
244,844979544864018432,14273,2768
245,844973813909606400,15831,3440
246,844704788403113984,40571,11080
247,844580511645339650,17266,3371
248,844223788422217728,14288,2350
249,843981021012017153,15838,3129
250,843856843873095681,22445,4962
251,843604394117681152,17713,2953
252,843235543001513987,22538,6500
253,842846295480000512,15958,3855
254,842765311967449089,7082,1365
255,842535590457499648,18999,3759
256,842163532590374912,25713,6229
257,842115215311396866,14717,3255
258,841833993020538882,0,16507
259,841680585030541313,26919,8329
260,841439858740625411,13275,3942
261,841320156043304961,20757,5836
262,841314665196081154,16648,5046
263,841077006473256960,24072,5708
264,840761248237133825,0,1889
265,840728873075638272,0,17449
266,840698636975636481,189,2
267,840696689258311684,12937,1057
268,840632337062862849,9435,1889
269,840370681858686976,17328,4901
270,840268004936019968,20296,6175
271,839990271299457024,14142,2474
272,839549326359670784,28995,8389
273,839290600511926273,0,154
274,839239871831150596,28651,7058
275,838952994649550848,20672,4285
276,838921590096166913,11773,2236
277,838916489579200512,0,36
278,838831947270979586,0,11951
279,838561493054533637,11506,1429
280,838476387338051585,23842,5201
281,838201503651401729,0,10915
282,838150277551247360,1772,354
283,838085839343206401,147,0
284,838083903487373313,18602,3404
285,837820167694528512,36076,8499
286,837482249356513284,4048,478
287,837471256429613056,13505,2483
288,837366284874571778,22313,5732
289,837110210464448512,16911,2595
290,836989968035819520,13440,2480
291,836753516572119041,20312,4997
292,836677758902222849,13318,2406
293,836648853927522308,0,593
294,836397794269200385,0,29914
295,836380477523124226,15551,3201
296,836260088725786625,22461,4643
297,836001077879255040,20201,4651
298,835685285446955009,0,8853
299,835574547218894849,18813,3929
300,835536468978302976,0,1846
301,835309094223372289,0,22795
302,835297930240217089,17354,3237
303,835264098648616962,8205,1846
304,835246439529840640,2207,78
305,835172783151792128,27640,6231
306,835152434251116546,23753,3273
307,834931633769889797,11464,1789
308,834786237630337024,22361,5930
309,834574053763584002,14499,2750
310,834477809192075265,0,11591
311,834458053273591808,10184,1817
312,834209720923721728,21824,5198
313,834167344700198914,16675,3941
314,834089966724603904,10636,2304
315,834086379323871233,13831,2406
316,833863086058651648,14198,2612
317,833826103416520705,16245,3734
318,833732339549220864,0,236
319,833722901757046785,21896,3485
320,833479644947025920,15732,2244
321,833124694597443584,21397,5254
322,832998151111966721,14096,2410
323,832769181346996225,0,40
324,832757312314028032,17820,3945
325,832682457690300417,12594,3188
326,832645525019123713,3092,564
327,832636094638288896,16810,3043
328,832397543355072512,12667,2417
329,832369877331693569,18178,3461
330,832273440279240704,11983,2535
331,832215909146226688,0,6735
332,832215726631055365,0,10215
333,832088576586297345,71,2
334,832040443403784192,0,10587
335,832032802820481025,18914,5070
336,831939777352105988,25453,6675
337,831926988323639298,362,35
338,831911600680497154,29349,7105
339,831670449226514432,11079,1975
340,831650051525054464,7617,2113
341,831552930092285952,9554,2501
342,831322785565769729,9738,1661
343,831315979191906304,6920,1213
344,831309418084069378,12447,2661
345,831262627380748289,12638,2233
346,830956169170665475,8466,1628
347,830583320585068544,71054,18387
348,830173239259324417,0,6228
349,830097400375152640,10437,3283
350,829878982036299777,0,5481
351,829861396166877184,12996,2134
352,829501995190984704,33723,11591
353,829449946868879360,11119,2211
354,829374341691346946,36793,10172
355,829141528400556032,26056,8095
356,829011960981237760,56354,17700
357,828801551087042563,0,3713
358,828770345708580865,27183,6429
359,828708714936930305,38933,12276
360,828650029636317184,10107,1471
361,828409743546925057,6690,1256
362,828408677031882754,8131,1403
363,828381636999917570,13437,2426
364,828376505180889089,7855,1162
365,828372645993398273,13330,3208
366,828361771580813312,2336,184
367,828046555563323392,12525,3129
368,828011680017821696,11035,2345
369,827933404142436356,21442,5708
370,827653905312006145,16429,3287
371,827600520311402496,7880,1037
372,827324948884643840,16910,3350
